arquivo;estados;animacoes;quadros;icone;folha;overflow
Blasts\16.dmi;1;1;7;32x32;224x32;
Blasts\17.dmi;1;4;12;32x32;384x32;
Blasts\18.dmi;1;8;16;32x32;512x32;
Blasts\19.dmi;1;8;16;32x32;512x32;
Blasts\2.dmi;1;4;8;32x32;256x32;
Blasts\20.dmi;1;4;8;32x32;256x32;
Blasts\21.dmi;1;8;16;32x32;512x32;
Blasts\22.dmi;1;4;8;32x32;256x32;
Blasts\23.dmi;1;4;8;32x32;256x32;
Blasts\24.dmi;1;8;24;32x32;768x32;
Blasts\25.dmi;1;8;16;32x32;512x32;
Blasts\26.dmi;1;8;16;32x32;512x32;
Blasts\27.dmi;1;4;8;32x32;256x32;
Blasts\28.dmi;1;1;7;32x32;224x32;
Blasts\29.dmi;1;8;8;32x32;256x32;
Blasts\3.dmi;1;8;8;32x32;256x32;
Blasts\30.dmi;1;4;12;32x32;384x32;
Blasts\31.dmi;1;8;40;32x32;1280x32;
Blasts\32.dmi;1;8;8;32x32;256x32;
Blasts\33.dmi;1;8;8;32x32;256x32;
Blasts\34.dmi;1;8;96;32x32;3072x32;
Blasts\35.dmi;1;4;12;32x32;384x32;
Blasts\36.dmi;1;8;48;32x32;1536x32;
Blasts\37.dmi;1;1;8;32x32;256x32;
Blasts\38.dmi;1;1;4;64x64;128x128;
Blasts\39.dmi;1;8;32;32x32;1024x32;
Blasts\4.dmi;1;8;40;32x32;1280x32;
Blasts\40.dmi;1;8;32;32x32;192x192;
Blasts\5.dmi;1;8;8;32x32;256x32;
Blasts\6.dmi;1;4;4;32x32;128x32;
Blasts\7.dmi;1;8;24;32x32;768x32;
Blasts\8.dmi;1;8;16;32x32;512x32;
Blasts\9.dmi;1;4;8;32x32;256x32;
Blasts\AllBlasts.dmi;38;209;573;32x32;768x768;
Blasts\Aura Blast Size 1.dmi;1;4;16;128x128;512x512;
Blasts\Aura Blast Size 1W.dmi;1;4;16;128x128;512x512;
Blasts\BallSpiritBomb.dmi;2;2;5;60x60;300x60;
Blasts\BallSupernova.dmi;2;2;3;128x128;384x128;
Blasts\Bigbangattack.dmi;1;1;4;73x73;146x146;
Blasts\Blast - Fire.dmi;1;4;8;64x64;192x192;
Blasts\Blast - Spiraling Ki.dmi;2;2;5;52x52;156x104;
Blasts\Blast Charging 2.dmi;1;4;16;32x32;128x128;
Blasts\Blast Charging 3.dmi;1;4;16;32x32;128x128;
Blasts\Blast Charging.dmi;1;4;8;32x32;96x96;
Blasts\Blast0.dmi;2;5;9;32x32;288x32;
Blasts\Blast1.dmi;2;9;17;32x32;544x32;
Blasts\Blast10.dmi;2;5;9;32x32;288x32;
Blasts\Blast11.dmi;2;5;9;32x32;288x32;
Blasts\Blast12.dmi;2;5;9;32x32;288x32;
Blasts\Blast13.dmi;2;2;2;32x32;64x32;
Blasts\Blast14.dmi;2;5;5;32x32;160x32;
Blasts\Blast15.dmi;2;5;5;32x32;160x32;
Blasts\Blast16.dmi;2;5;5;32x32;160x32;
Blasts\Blast17.dmi;2;5;5;32x32;160x32;
Blasts\Blast18.dmi;2;2;5;32x32;160x32;
Blasts\Blast19.dmi;2;5;9;32x32;288x32;
Blasts\Blast2.dmi;2;5;9;32x32;288x32;
Blasts\Blast20.dmi;2;5;9;32x32;288x32;
Blasts\Blast21.dmi;2;5;17;32x32;544x32;
Blasts\Blast22.dmi;2;2;5;32x32;160x32;
Blasts\Blast23.dmi;2;2;3;32x32;96x32;
Blasts\Blast24.dmi;2;5;9;32x32;288x32;
Blasts\Blast25.dmi;2;2;3;32x32;96x32;
Blasts\Blast26.dmi;2;5;17;32x32;544x32;
Blasts\Blast27.dmi;2;5;9;32x32;288x32;
Blasts\Blast28.dmi;2;2;3;32x32;96x32;
Blasts\Blast29.dmi;2;2;5;32x32;160x32;
Blasts\Blast3.dmi;2;5;5;32x32;160x32;
Blasts\Blast30.dmi;2;2;4;32x32;128x32;
Blasts\Blast4.dmi;2;5;13;32x32;416x32;
Blasts\Blast5.dmi;2;5;13;32x32;416x32;
Blasts\Blast6.dmi;2;2;4;32x32;128x32;
Blasts\Blast7.dmi;2;5;5;32x32;160x32;
Blasts\Blast8.dmi;2;2;5;32x32;160x32;
Blasts\Blast9.dmi;2;2;5;32x32;160x32;
Blasts\BlastAqua.dmi;1;8;16;32x32;512x32;
Blasts\BlastCharges.dmi;9;33;326;32x32;608x576;
Blasts\BlastDestructoDisk.dmi;5;5;9;32x32;288x32;
Blasts\BlastDualFireBlast.dmi;2;5;13;32x32;416x32;
Blasts\BlastFire.dmi;1;4;8;64x64;512x64;
Blasts\BlastFlame.dmi;1;8;16;32x32;512x32;
Blasts\BlastKiShuriken.dmi;4;4;13;32x32;416x32;
Blasts\Blasts.dmi;39;224;569;32x32;768x768;
Blasts\BlastsAscended.dmi;40;228;577;32x32;800x768;
Blasts\BlastSpiralingKi.dmi;2;2;5;52x52;156x104;
Blasts\BlastStar.dmi;1;4;20;32x32;160x128;
Blasts\BlastSuperDD.dmi;1;1;2;60x60;120x60;
Blasts\Brolly1.dmi;1;1;7;32x32;96x96;
Blasts\Charge1.dmi;1;4;64;32x32;256x256;
Blasts\Daitoppa.dmi;1;8;8;32x32;96x96;
Blasts\darkblast.dmi;1;4;12;32x32;128x96;
Blasts\DarkLance.dmi;1;8;32;32x32;192x192;
Blasts\deathball2017purple2.dmi;1;1;4;98x89;196x178;
Blasts\dragonnight.dmi;3;12;48;32x32;224x224;
Blasts\ElectroShield.dmi;1;1;4;128x128;512x128;
Blasts\Fireblastbig.dmi;1;8;16;87x87;348x348;
Blasts\flareblast.dmi;1;4;16;64x64;256x256;
Blasts\give.dmi;1;1;1;32x32;32x32;
Blasts\GreenBall2017.dmi;1;1;8;128x128;384x384;
Blasts\Hadoken.dmi;1;4;40;40x40;280x240;
Blasts\HakaiBall.dmi;1;1;96;48x48;480x480;
Blasts\InterceptorBlast.dmi;1;4;12;32x32;128x96;
Blasts\Mafuba.dmi;3;3;15;96x96;384x384;
Blasts\MegaSupernova2018.dmi;1;1;8;348x370;1044x1110;
Blasts\RoyalDeathCrusher.dmi;1;4;28;100x100;600x500;
Blasts\sparkleblast.dmi;1;1;7;32x32;96x96;
Blasts\Trishot.dmi;1;8;32;32x32;192x192;
Blasts\Zankoukyokuha.dmi;1;4;8;32x32;96x96;
Bullets\Bullet 1.dmi;1;1;4;32x32;64x64;
Bullets\Bullet 2.dmi;1;1;4;32x32;64x64;
Bullets\Bullet 3.dmi;1;1;1;32x32;32x32;
Bullets\Bullet 4.dmi;1;4;4;32x32;64x64;
Bullets\Missile Small.dmi;1;4;8;32x32;96x96;
Bullets\Missile.dmi;1;4;8;32x32;96x96;
Character Icons\Antumb.dmi;10;31;76;32x32;288x288;
Character Icons\Avatar.dmi;8;20;46;32x32;224x224;
Character Icons\BaseBlackFemale.dmi;10;22;46;32x32;224x224;
Character Icons\BaseBlackMale.dmi;10;22;46;32x32;224x224;
Character Icons\BaseTanFemale.dmi;11;23;56;32x32;256x224;
Character Icons\BaseTanMale.dmi;10;22;46;32x32;224x224;
Character Icons\BaseWhiteFemale.dmi;10;22;46;32x32;224x224;
Character Icons\BaseWhiteMale.dmi;10;22;46;32x32;224x224;
Character Icons\bat.dmi;2;8;16;32x32;128x128;
Character Icons\Beerus (God of Destruction).dmi;8;20;41;32x32;224x192;
Character Icons\Big Broly.dmi;8;20;63;32x64;352x384;
Character Icons\Big Garlic.dmi;8;20;36;32x32;192x192;
Character Icons\BigGarlic.dmi;8;20;36;32x32;192x192;
Character Icons\Black Male.dmi;8;23;63;32x32;256x256;
Character Icons\Black Saiba.dmi;1;4;12;32x32;128x96;
Character Icons\BlackMaleMuscular3.dmi;9;24;40;32x32;224x192;
Character Icons\Bubbless.dmi;9;21;83;32x32;320x288;
Character Icons\bunny.dmi;4;13;164;32x32;416x416;
Character Icons\camel.dmi;3;9;21;32x32;160x160;
Character Icons\cat.dmi;6;18;61;32x32;256x256;
Character Icons\Custom_Icon.dmi;9;27;75;32x32;288x288;
Character Icons\Custom_Icon_Female.dmi;8;23;63;32x32;256x256;
Character Icons\Daishikan.dmi;10;28;81;32x32;288x288;
Character Icons\DBZ Spirit.dmi;4;16;56;32x32;256x224;
Character Icons\DBZ.dmi;113;449;1400;32x32;1216x1184;
Character Icons\Dragon.dmi;2;2;2;256x353;512x353;
Character Icons\El Hermano.dmi;9;24;73;32x32;288x288;
Character Icons\Fairy.dmi;9;36;432;32x32;672x672;
Character Icons\FatGuy.dmi;9;21;42;32x32;224x192;
Character Icons\Ferret Girl Adult.dmi;9;24;57;32x32;256x256;
Character Icons\fish.dmi;5;20;88;32x32;320x288;
Character Icons\Fusion clothes.dmi;7;19;41;32x32;224x192;
Character Icons\Goddess of Snakes.dmi;12;30;70;32x32;288x256;
Character Icons\Green Saibaman.dmi;1;4;12;32x32;128x96;
Character Icons\Gregory.dmi;8;20;53;32x32;256x224;
Character Icons\Human Cyborg (Male).dmi;9;24;83;32x32;320x288;
Character Icons\Immecka.dmi;8;23;62;32x32;256x256;
Character Icons\Jack Raiden (MGR'R) (DU).dmi;9;24;41;32x32;224x192;
Character Icons\JaganTransformation.dmi;9;21;50;32x32;256x224;
Character Icons\Jiren.dmi;9;24;73;32x32;288x288;
Character Icons\JonatTuxdroid.dmi;9;24;61;32x32;256x256;
Character Icons\Kanassan.dmi;8;23;62;32x32;256x256;
Character Icons\Kid Makyojin.dmi;9;24;69;32x32;288x256;
Character Icons\Makyo Blue.dmi;8;20;41;32x32;224x192;
Character Icons\Makyo Muscular Grey.dmi;8;23;62;32x32;256x256;
Character Icons\Makyojin.dmi;9;27;75;32x32;288x288;
Character Icons\MakyoMorph.dmi;1;1;5;32x32;160x32;
Character Icons\MetaF.dmi;9;27;79;32x32;288x288;
Character Icons\MetaM.dmi;8;23;62;32x32;256x256;
Character Icons\Metamori.dmi;8;23;62;32x32;256x256;
Character Icons\MetaRepair.dmi;1;1;10;32x32;128x96;
Character Icons\Nero DT(DMC 4).dmi;8;20;23;32x32;160x160;
Character Icons\New Pale Male - SSG.dmi;10;25;46;32x32;224x224;
Character Icons\New Pale Male Madara.dmi;10;25;70;32x32;288x256;
Character Icons\NewBlackFemale.dmi;9;24;69;32x32;288x256;
Character Icons\NewBlackMale.dmi;9;24;69;32x32;288x256;
Character Icons\NewPaleFemale.dmi;9;24;69;32x32;288x256;
Character Icons\NewPaleMale.dmi;15;48;117;32x32;352x352;
Character Icons\NewTanFemale.dmi;9;24;69;32x32;288x256;
Character Icons\NewTanMale.dmi;9;24;69;32x32;288x256;
Character Icons\ogre base.dmi;8;23;43;32x32;224x224;
Character Icons\orge female.dmi;8;20;37;32x32;224x192;
Character Icons\Phrexian.dmi;8;20;41;32x32;224x192;
Character Icons\PossessedSpiritDoll.dmi;10;28;71;32x32;288x256;
Character Icons\Purple Fairy.dmi;2;8;96;32x32;320x320;
Character Icons\rat.dmi;4;13;41;32x32;224x192;
Character Icons\Robots.dmi;36;108;563;32x32;768x768;
Character Icons\SHARINGAN.dmi;9;24;57;32x32;256x256;
Character Icons\Shopkeep.dmi;10;22;46;32x32;224x224;
Character Icons\ShopkeepNamek.dmi;7;19;38;32x32;224x192;
Character Icons\Skeleton (2).dmi;1;1;2;32x32;64x32;
Character Icons\Skeleton.dmi;10;22;46;32x32;224x224;
Character Icons\SmallSaiba.dmi;6;12;39;32x32;224x192;
Character Icons\spacepirate.dmi;9;27;75;32x32;288x288;
Character Icons\Spider322014.dmi;4;16;32;39x39;234x234;
Character Icons\Spirit Doll.dmi;8;20;41;32x32;224x192;
Character Icons\SpiritDoll.dmi;8;20;41;32x32;224x192;
Character Icons\Tails.dmi;1;1;1;224x224;224x224;
Character Icons\Tan Male Muscular.dmi;8;23;43;32x32;224x224;
Character Icons\Tan Male.dmi;8;23;63;32x32;256x256;
Character Icons\Todd the Squirrel.dmi;8;23;53;32x32;256x224;
Character Icons\Turtle.dmi;4;10;26;32x32;192x160;
Character Icons\Tyran's Androids (B).dmi;8;20;52;32x32;256x224;
Character Icons\Tyran's Androids (R).dmi;8;20;52;32x32;256x224;
Character Icons\Tyrone.dmi;8;20;38;42x32;210x256;
Character Icons\VenusDjinniMob.dmi;9;24;60;32x32;256x256;
Character Icons\Wheelchair.dmi;7;13;25;32x32;160x160;
Character Icons\Whis.dmi;8;20;60;32x32;256x256;
Character Icons\White Male Muscular 2.dmi;8;20;41;32x32;224x192;
Character Icons\White Male Muscular 3.dmi;8;20;41;32x32;224x192;
Character Icons\White Male Muscular.dmi;8;20;41;32x32;224x192;
Character Icons\White Male Skinny.dmi;8;20;41;32x32;224x192;
Character Icons\White Male.dmi;8;23;63;32x32;256x256;
Character Icons\Whitefemale.dmi;8;20;41;32x32;224x192;
Character Icons\Yardrat.dmi;8;26;41;32x32;224x192;
Character Icons\Yukenojin.dmi;8;20;41;32x32;224x192;
Character Icons\Zamasu.dmi;19;49;104;32x32;352x320;
Character Icons\Zeno-sama(Omni-King).dmi;9;24;45;32x32;224x224;
Clothes\Abdominal_Machinegun.dmi;2;5;8;32x32;96x96;
Clothes\Angel Wings.dmi;2;5;25;32x32;160x160;
Clothes\Blue suit.dmi;9;27;118;32x32;352x352;
Clothes\BobaFett.dmi;8;20;41;32x32;224x192;
Clothes\BrolyWaistrobe.dmi;6;15;30;32x32;192x160;
Clothes\Chained Arms.dmi;9;24;45;32x32;224x224;
Clothes\Clothes Arm Pads.dmi;9;21;42;32x32;224x192;
Clothes\Clothes Armbands.dmi;8;20;41;32x32;224x192;
Clothes\Clothes Backpack.dmi;8;20;35;32x32;192x192;
Clothes\Clothes Daimaou.dmi;8;23;38;32x32;224x192;
Clothes\Clothes Elder Kaio.dmi;7;19;38;32x32;224x192;
Clothes\Clothes Guardian.dmi;8;23;38;32x32;224x192;
Clothes\Clothes Helmet.dmi;8;20;35;32x32;192x192;
Clothes\Clothes Kung Fu Shirt.dmi;9;21;42;32x32;224x192;
Clothes\Clothes Tuxedo.dmi;9;21;42;32x32;224x192;
Clothes\Clothes, Demon Arm.dmi;8;20;35;32x32;192x192;
Clothes\Clothes, Kimono.dmi;8;20;41;32x32;224x192;
Clothes\Clothes, Neko.dmi;7;19;34;32x32;192x192;
Clothes\Clothes, Ninja Mask.dmi;9;21;42;32x32;224x192;
Clothes\Clothes, Saiyan Gloves.dmi;8;23;62;32x32;256x256;
Clothes\Clothes, Saiyan Shoes.dmi;8;23;62;32x32;1984x32;
Clothes\ClothesAssassin.dmi;8;20;41;32x32;224x192;
Clothes\ClothesAssassinHoodless.dmi;8;20;41;32x32;1312x32;
Clothes\ClothesBook.dmi;8;23;62;32x32;1984x32;
Clothes\ClothesCape2.dmi;8;23;62;32x32;1984x32;
Clothes\ClothesDaimaouCape.dmi;9;27;57;32x32;1824x32;
Clothes\ClothesFemaleShirt.dmi;8;23;62;32x32;256x256;
Clothes\ClothesFemaleShorts.dmi;8;23;39;32x32;1248x32;
Clothes\ClothesFullYardrat.dmi;7;19;34;32x32;1088x32;
Clothes\ClothesGiFemale.dmi;8;23;62;32x32;256x256;
Clothes\ClothesGoggles.dmi;8;20;35;32x32;192x192;
Clothes\ClothesHorns.dmi;8;20;35;32x32;192x192;
Clothes\ClothesKaioShirt.dmi;8;23;63;32x32;2016x32;
Clothes\ClothesKimono.dmi;8;20;41;32x32;224x192;
Clothes\ClothesNamekJacket.dmi;7;19;34;32x32;192x192;
Clothes\ClothesNaraku.dmi;8;20;35;32x32;192x192;
Clothes\ClothesNeko.dmi;7;19;34;32x32;192x192;
Clothes\ClothesNeroJacket.dmi;8;20;35;32x32;192x192;
Clothes\ClothesNinjaMask.dmi;9;21;42;32x32;224x192;
Clothes\ClothesNinjaMask2.dmi;9;21;42;32x32;224x192;
Clothes\ClothesPimpHat.dmi;9;24;57;32x32;256x256;
